"subject","game","choice"
98,"ac_2",2
98,"ac_3",2
98,"ac_4",3
98,"ac_5",1
98,"ac_6",1
98,"ac_7",3
98,"ac_8",3
98,"ac_9",3
98,"ac_10",2
99,"ac_1",3
99,"ac_2",3
99,"ac_3",3
99,"ac_4",1
99,"ac_5",1
99,"ac_6",1
99,"ac_7",3
99,"ac_8",1
99,"ac_9",1
99,"ac_10",3
100,"ac_1",1
100,"ac_2",3
100,"ac_3",2
100,"ac_4",1
100,"ac_5",3
100,"ac_6",3
100,"ac_7",3
100,"ac_8",3
100,"ac_9",3
100,"ac_10",3
101,"ac_1",2
101,"ac_2",1
101,"ac_3",3
101,"ac_4",1
101,"ac_5",2
101,"ac_6",3
101,"ac_7",3
101,"ac_8",3
101,"ac_9",3
101,"ac_10",2
102,"ac_1",1
102,"ac_2",2
102,"ac_3",2
102,"ac_4",2
102,"ac_5",2
102,"ac_6",1
102,"ac_7",3
102,"ac_8",3
102,"ac_9",1
102,"ac_10",3
103,"ac_1",1
103,"ac_2",2
103,"ac_3",3
103,"ac_4",2
103,"ac_5",3
103,"ac_6",3
103,"ac_7",2
103,"ac_8",3
103,"ac_9",3
103,"ac_10",3
104,"ac_1",3
104,"ac_2",3
104,"ac_3",1
104,"ac_4",2
104,"ac_5",3
104,"ac_6",3
104,"ac_7",3
104,"ac_8",3
104,"ac_9",3
104,"ac_10",3
105,"ac_1",2
105,"ac_2",3
105,"ac_3",3
105,"ac_4",1
105,"ac_5",1
105,"ac_6",3
105,"ac_7",2
105,"ac_8",1
105,"ac_9",1
105,"ac_10",3
106,"ac_1",3
106,"ac_2",2
106,"ac_3",2
106,"ac_4",1
106,"ac_5",2
106,"ac_6",1
106,"ac_7",2
106,"ac_8",2
106,"ac_9",3
106,"ac_10",1
107,"ac_1",1
107,"ac_2",1
107,"ac_3",3
107,"ac_4",1
107,"ac_5",1
107,"ac_6",1
107,"ac_7",1
107,"ac_8",1
107,"ac_9",3
107,"ac_10",1
108,"ac_1",1
108,"ac_2",1
108,"ac_3",1
108,"ac_4",2
108,"ac_5",3
108,"ac_6",1
108,"ac_7",2
108,"ac_8",2
108,"ac_9",3
108,"ac_10",3
109,"ac_1",3
109,"ac_2",1
109,"ac_3",2
109,"ac_4",1
109,"ac_5",1
109,"ac_6",1
109,"ac_7",3
109,"ac_8",2
109,"ac_9",1
109,"ac_10",3
110,"ac_1",3
110,"ac_2",3
110,"ac_3",3
110,"ac_4",3
110,"ac_5",3
110,"ac_6",3
110,"ac_7",3
110,"ac_8",3
110,"ac_9",3
110,"ac_10",3
111,"ac_1",2
111,"ac_2",2
111,"ac_3",2
111,"ac_4",2
111,"ac_5",1
111,"ac_6",3
111,"ac_7",3
111,"ac_8",3
111,"ac_9",3
111,"ac_10",1
112,"ac_1",1
112,"ac_2",2
112,"ac_3",3
112,"ac_4",1
112,"ac_5",1
112,"ac_6",3
112,"ac_7",3
112,"ac_8",3
112,"ac_9",1
112,"ac_10",3
113,"ac_1",2
113,"ac_2",1
113,"ac_3",1
113,"ac_4",1
113,"ac_5",3
113,"ac_6",1
113,"ac_7",1
113,"ac_8",1
113,"ac_9",1
113,"ac_10",1
114,"ac_1",2
114,"ac_2",3
114,"ac_3",1
114,"ac_4",2
114,"ac_5",1
114,"ac_6",1
114,"ac_7",3
114,"ac_8",3
114,"ac_9",1
114,"ac_10",3
115,"ac_1",3
115,"ac_2",2
115,"ac_3",3
115,"ac_4",3
115,"ac_5",2
115,"ac_6",3
115,"ac_7",3
115,"ac_8",3
115,"ac_9",3
115,"ac_10",3
116,"ac_1",1
116,"ac_2",1
116,"ac_3",2
116,"ac_4",2
116,"ac_5",3
116,"ac_6",3
116,"ac_7",1
116,"ac_8",2
116,"ac_9",1
116,"ac_10",1
117,"ac_1",3
117,"ac_2",3
117,"ac_3",1
117,"ac_4",1
117,"ac_5",1
117,"ac_6",3
117,"ac_7",2
117,"ac_8",1
117,"ac_9",1
117,"ac_10",3
118,"ac_1",1
118,"ac_2",2
118,"ac_3",2
118,"ac_4",2
118,"ac_5",1
118,"ac_6",3
118,"ac_7",1
118,"ac_8",2
118,"ac_9",1
118,"ac_10",2
119,"ac_1",1
119,"ac_2",2
119,"ac_3",1
119,"ac_4",1
119,"ac_5",2
119,"ac_6",1
119,"ac_7",2
119,"ac_8",2
119,"ac_9",3
119,"ac_10",3
120,"ac_1",3
120,"ac_2",1
120,"ac_3",1
120,"ac_4",1
120,"ac_5",1
120,"ac_6",1
120,"ac_7",1
120,"ac_8",1
120,"ac_9",1
120,"ac_10",1
121,"ac_1",2
121,"ac_2",3
121,"ac_3",3
121,"ac_4",2
121,"ac_5",1
121,"ac_6",3
121,"ac_7",3
121,"ac_8",3
121,"ac_9",3
121,"ac_10",3
122,"ac_1",3
122,"ac_2",1
122,"ac_3",2
122,"ac_4",2
122,"ac_5",1
122,"ac_6",3
122,"ac_7",2
122,"ac_8",3
122,"ac_9",2
122,"ac_10",3
123,"ac_1",3
123,"ac_2",2
123,"ac_3",1
123,"ac_4",1
123,"ac_5",2
123,"ac_6",3
123,"ac_7",2
123,"ac_8",1
123,"ac_9",1
123,"ac_10",3
124,"ac_1",1
124,"ac_2",1
124,"ac_3",1
124,"ac_4",1
124,"ac_5",1
124,"ac_6",2
124,"ac_7",2
124,"ac_8",1
124,"ac_9",3
124,"ac_10",1
125,"ac_1",1
125,"ac_2",1
125,"ac_3",1
125,"ac_4",2
125,"ac_5",2
125,"ac_6",1
125,"ac_7",2
125,"ac_8",1
125,"ac_9",1
125,"ac_10",1
126,"ac_1",2
126,"ac_2",2
126,"ac_3",2
126,"ac_4",1
126,"ac_5",3
126,"ac_6",3
126,"ac_7",3
126,"ac_8",1
126,"ac_9",3
126,"ac_10",3
127,"ac_1",1
127,"ac_2",1
127,"ac_3",1
127,"ac_4",1
127,"ac_5",3
127,"ac_6",3
127,"ac_7",3
127,"ac_8",3
127,"ac_9",3
127,"ac_10",3
128,"ac_1",3
128,"ac_2",1
128,"ac_3",1
128,"ac_4",1
128,"ac_5",1
128,"ac_6",3
128,"ac_7",3
128,"ac_8",3
128,"ac_9",3
128,"ac_10",3
129,"ac_1",3
129,"ac_2",2
129,"ac_3",3
129,"ac_4",1
129,"ac_5",1
129,"ac_6",1
129,"ac_7",1
129,"ac_8",3
129,"ac_9",2
129,"ac_10",3
130,"ac_1",3
130,"ac_2",1
130,"ac_3",3
130,"ac_4",3
130,"ac_5",2
130,"ac_6",2
130,"ac_7",2
130,"ac_8",3
130,"ac_9",2
130,"ac_10",2
131,"ac_1",3
131,"ac_2",1
131,"ac_3",1
131,"ac_4",1
131,"ac_5",1
131,"ac_6",1
131,"ac_7",1
131,"ac_8",1
131,"ac_9",1
131,"ac_10",1
132,"ac_1",3
132,"ac_2",3
132,"ac_3",3
132,"ac_4",1
132,"ac_5",1
132,"ac_6",3
132,"ac_7",3
132,"ac_8",1
132,"ac_9",3
132,"ac_10",3
133,"ac_1",3
133,"ac_2",1
133,"ac_3",2
133,"ac_4",1
133,"ac_5",1
133,"ac_6",3
133,"ac_7",3
133,"ac_8",3
133,"ac_9",3
133,"ac_10",3
134,"ac_1",2
134,"ac_2",2
134,"ac_3",2
134,"ac_4",2
134,"ac_5",1
134,"ac_6",3
134,"ac_7",3
134,"ac_8",1
134,"ac_9",1
134,"ac_10",3
135,"ac_1",3
135,"ac_2",1
135,"ac_3",1
135,"ac_4",1
135,"ac_5",2
135,"ac_6",3
135,"ac_7",3
135,"ac_8",3
135,"ac_9",3
135,"ac_10",3
136,"ac_1",1
136,"ac_2",3
136,"ac_3",2
136,"ac_4",1
136,"ac_5",2
136,"ac_6",3
136,"ac_7",1
136,"ac_8",3
136,"ac_9",2
136,"ac_10",3
137,"ac_1",1
137,"ac_2",3
137,"ac_3",3
137,"ac_4",3
137,"ac_5",3
137,"ac_6",3
137,"ac_7",3
137,"ac_8",3
137,"ac_9",3
137,"ac_10",3
138,"ac_1",3
138,"ac_2",2
138,"ac_3",2
138,"ac_4",2
138,"ac_5",2
138,"ac_6",3
138,"ac_7",1
138,"ac_8",1
138,"ac_9",1
138,"ac_10",3
139,"ac_1",2
139,"ac_2",3
139,"ac_3",1
139,"ac_4",1
139,"ac_5",1
139,"ac_6",3
139,"ac_7",1
139,"ac_8",1
139,"ac_9",1
139,"ac_10",3
140,"ac_1",1
140,"ac_2",2
140,"ac_3",2
140,"ac_4",2
140,"ac_5",1
